fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,PROVINCE_CODE,HEATING_DEGREE_DAYS,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,LOCAL_DAY,LOCAL_MONTH,ID,MIN_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_SNOW,MEAN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,LOCAL_DATE,SPEED_MAX_GUST,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS,SNOW_ON_GROUND_FLAG,MEAN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,LOCAL_YEAR,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,CLIMATE_IDENTIFIER
7523,56.3502,-121.0968,2006-08-26,0.2,CHARLIE LAKE,BC,56.17516,-121.00594,753.0,20.24351854719681,BC,4.2,,,,,26.0,8.0,11814FR.2006.8.26,,4.0,0.0,13.8,,2006-08-26 00:00:00,,,,0.0,,,,23.5,,,2006.0,0.0,,,,0.0,0.0,11814FR
7524,56.1882,-121.9309,2006-07-03,20.6,HUDSON HOPE BCHPA DAM,BC,56.01,-122.12,678.2,23.011089451428003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7525,56.2922,-121.1037,2006-04-06,3.0,CHARLIE LAKE,BC,56.17516,-121.00594,753.0,14.339326083372631,BC,11.5,,,,,6.0,4.0,11814FR.2006.4.6,,-3.0,0.0,6.5,,2006-04-06 00:00:00,,,,0.0,,,,16.0,,,2006.0,0.0,,,,0.0,8.0,11814FR
7526,56.4543,-121.1912,2006-04-15,0.1,PRESPATOU,BC,56.55,-121.02,684.9,14.94462213372149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7527,56.75,-121.7125,2006-04-17,1.5,WONOWON,BC,56.44,-121.48,914.4,37.26994804058092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7528,56.6166,-121.4867,2006-04-17,13.0,WONOWON,BC,56.44,-121.48,914.4,19.62899061515718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7529,56.2952,-121.2067,2006-04-18,11.4,CHARLIE LAKE,BC,56.17516,-121.00594,753.0,18.21215920020378,BC,12.0,,,,,18.0,4.0,11814FR.2006.4.18,,-0.5,0.0,6.0,,2006-04-18 00:00:00,,,,0.0,,,,12.5,,,2006.0,0.0,,,,0.0,0.0,11814FR
7530,56.6265,-121.9382,2006-04-07,27.4,HALFWAY RIVER,BC,56.44,-122.35,670.6,32.65468674614551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7531,56.452,-121.83,2006-04-19,0.1,WONOWON,BC,56.44,-121.48,914.4,21.53877462368548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7532,56.5742,-121.1393,2006-04-21,1.0,PRESPATOU,BC,56.55,-121.02,684.9,7.784432712851603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7533,56.4564,-121.6097,2006-04-23,0.5,WONOWON,BC,56.44,-121.48,914.4,8.17170215211666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7534,56.3045,-121.1637,2006-04-24,1.0,CHARLIE LAKE,BC,56.17516,-121.00594,753.0,17.363576623948433,BC,9.0,,,,,24.0,4.0,11814FR.2006.4.24,,-4.0,0.0,9.0,,2006-04-24 00:00:00,,,,0.0,,,,22.0,,,2006.0,0.0,,,,0.0,0.0,11814FR
7535,56.5208,-122.2961,2006-04-25,12.0,HALFWAY RIVER,BC,56.44,-122.35,670.6,9.568756821714446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
